war,batting_average,batdirratio_left,batdirratio_center,batdirratio_right,batdirratio_pull,batdirratio_push,bat_in_pitch,bat_at_first,swing_in_chance_ratio,ln_war,ln_batting_average,ln_batdir_left,ln_batdir_center,ln_batdir_right,ln_batdir_pull,ln_batdir_push,ln_bat_in_pitch,ln_bat_at_first,ln_swing_in_chance_ratio
1.62,0.235,0.265,0.196,0.539,0.539,0.265,0.449,0.163,0.089153046,0.482426149,-1.448169765,4.477336814,4.17438727,5.187385806,5.187385806,4.477336814,-0.800732391,-1.814005078,-2.417400767
2.08,0.266,0.501,0.228,0.271,0.501,0.271,0.42,0.116,0.064285714,0.732367894,-1.32425897,5.308267697,4.521788577,4.691347882,5.308267697,4.691347882,-0.867500568,-2.154165088,-2.744417845
1.96,0.233,0.337,0.209,0.455,0.414,0.377,0.464,0.26,0.110320285,0.672944473,-1.456716825,4.605170186,4.127134385,4.905274778,4.812184355,4.718498871,-0.767870727,-1.347073648,-2.204367465
2.59,0.321,0.418,0.199,0.383,0.418,0.383,0.421,0.248,0.088846881,0.951657876,-1.136314156,5.099866428,4.356708827,5.010635294,5.099866428,5.010635294,-0.865122445,-1.394326533,-2.42084083
3.35,0.288,0.497,0.253,0.25,0.497,0.25,0.433,0.302,0.064080944,1.208960346,-1.244794799,5.129898715,4.454347296,4.442651256,5.129898715,4.442651256,-0.837017551,-1.197328262,-2.747608239
3.04,0.253,0.227,0.245,0.528,0.528,0.227,0.462,0.321,0.088186356,1.111857515,-1.37436579,4.33073334,4.406719247,5.176149733,5.176149733,4.33073334,-0.772190388,-1.136314156,-2.428303021
1.96,0.251,0.267,0.218,0.515,0.512,0.271,0.431,0.26,0.104201681,0.672944473,-1.38230234,4.394449155,4.189654742,5.049856007,5.043425117,4.406719247,-0.841647189,-1.347073648,-2.261427021
0.84,0.222,0.289,0.187,0.524,0.524,0.289,0.348,0.111,0.058208955,-0.174353387,-1.505077897,4.510859507,4.077537444,5.105945474,5.105945474,4.510859507,-1.055552799,-2.198225078,-2.843716066
1.66,0.266,0.531,0.214,0.256,0.531,0.256,0.465,0.269,0.096566524,0.506817602,-1.32425897,5.099866428,4.189654742,4.369447852,5.099866428,4.369447852,-0.765717873,-1.313043899,-2.337523144
3.18,0.295,0.452,0.227,0.321,0.452,0.321,0.434,0.214,0.084775087,1.156881197,-1.220779923,5.043425117,4.356708827,4.700480366,5.043425117,4.700480366,-0.834710745,-1.541779264,-2.467753571
1.01,0.255,0.309,0.243,0.448,0.448,0.309,0.466,0.238,0.04797048,0.009950331,-1.366491734,4.48863637,4.248495242,4.859812404,4.859812404,4.48863637,-0.763569645,-1.435484605,-3.037169463
1.88,0.297,0.31,0.278,0.413,0.41,0.312,0.463,0.33,0.071428571,0.631271777,-1.21402314,4.682131227,4.574710979,4.9698133,4.96284463,4.691347882,-0.770028225,-1.108662625,-2.63905733
