no,name,team,position,game,plate,at_bats,runs_scored,hits,doubles,triples,homeruns,base_hits,runs_batted_hits,stolen_bases,caught_stealing,base_on_balls,hit_by_pitch,intentional_walks,strikeouts,ground_into_double_plays,sacrifice_hits,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,ops,w_oba,w_rcplus,war,spd,hr_ratio,bb_ratio,k_ratio,bbk_ratio,isop,isod,babip,spd,psn,w_rc,w_rc_27o,w_raa,w_oba_pf,w_rc_pf,w_rc_27o_pf,w_raa_pf
38,로하스,23두,LF,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.372,134.3,3.04,1.21,4.1,11.9,14.7,0.81,0.221,0.092,0.26,3.8,0,69.6,6.07,15,0.382,73.4,6.39,18.8
39,손아섭,23N,DH,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.39,140,4.39,2.67,0.82,8.2,11,0.75,0.103,0.054,0.376,5.4,7.37,99.9,7.04,28.2,0.391,100.4,7.08,28.7
40,에레디아,23S,LF,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.391,140.7,4.12,3.78,2.29,7.5,14.3,0.52,0.137,0.062,0.364,3.6,12,86.5,6.81,24.9,0.392,86.7,6.82,25.1
41,전준우,23롯,DH,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.391,140.8,3.6,2.65,3.04,9.3,11.6,0.8,0.158,0.069,0.328,4.7,11.77,92.2,6.91,26.3,0.392,92.7,6.95,26.9
42,김혜성,23키,2B,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.392,142.1,6.19,2.5,1.13,9.2,12.4,0.74,0.112,0.062,0.375,7.1,10.94,103.2,7.26,30.1,0.394,103.9,7.31,30.8
43,박건우,23N,RF,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,0.403,148,4.25,2.5,2.25,10.5,13.3,0.79,0.162,0.078,0.349,3.5,8.84,93.3,7.39,30.5,0.402,92.9,7.36,30.1
44,양의지,23,두C,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.306,0.397,0.475,0.872,0.399,151.9,5.4,0.59,3.34,11.2,11,1.02,0.169,0.091,0.318,2.7,10.88,87.5,7.22,27.5,0.408,91,7.52,31.1
45,홍창기,23L,RF,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.407,152,5.17,4.72,0.16,13.7,12.9,1.06,0.08,0.112,0.388,4.9,1.92,114.5,7.96,38.7,0.408,115.1,8.01,39.4
46,구자욱,23삼,RF,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.902,0.414,153.2,4.78,3.58,2.14,10.3,15.7,0.65,0.159,0.072,0.387,4.4,11.48,94.6,8.11,34,0.41,92.9,7.96,32.2
47,최형우,23K,DH,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.409,153.8,3.68,4.06,3.35,12.8,16.3,0.78,0.186,0.098,0.337,2.6,0,91,7.93,31.2,0.411,92,8.01,32.2
48,오스틴,23L,1B,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.405,154.4,5.22,2.92,3.95,9.1,12.9,0.71,0.204,0.062,0.326,4.7,10.73,102.6,7.33,34,0.412,106,7.57,37.3
49,최정,23S,3B,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.418,155.8,5.78,2.8,5.25,10.7,15.8,0.68,0.251,0.091,0.308,3.5,11.28,103.2,7.9,38.2,0.414,101.3,7.75,36.3
50,노시환,23한,3B,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.418,159.3,6.93,4.25,5.21,12.4,19.8,0.63,0.243,0.091,0.332,2.7,3.76,111.2,7.94,41.1,0.419,111.7,7.98,41.6
